Region,Animal species,Production system,Commodity,Emission Intensity (kg CO2e per kg protein),Production (kg protein),Total GHG emissions (kg CO2e),Total CO2 emissions (kg CO2e),Total CH4 emissions (kg CO2e),Total N2O emissions (kg CO2e),"Feed, CO2 (kg CO2e)","Feed, CH4 (kg CO2e)","Feed: fertilizer & crop residues, N2O (kg CO2e)","Feed: applied & deposited manure, N2O (kg CO2e)","LUC: soy & palm, CO2 (kg CO2e)","LUC: pasture expansion, CO2 (kg CO2e)","Enteric fermentation, CH4 (kg CO2e)","Manure management, CH4 (kg CO2e)","Manure management, N2O (kg CO2e)","Direct energy, CO2 (kg CO2e)","Indirect energy, CO2 (kg CO2e)","Postfarm, CO2 (kg CO2e)"
Western Europe,Cattle,Mixed systems,Meat,124.3,767316468.00,95349493276.00,20984052940.00,48472069710.00,25893370626.00,12195360880.00,,7734963780.00,13979048671.00,5336942799.00,,42832943526.00,5639126184.00,4179358175.00,807566645.00,1893033220.00,751149395.00
Western Europe,Cattle,Feedlots,Aggregated,81.8,5774482.00,472449871.00,151169745.00,203786553.00,117493573.00,81316889.00,,33027160.00,32449085.00,43256147.00,,193566584.00,10219969.00,52017328.00,11098636.00,7712953.00,7785120.00
Western Europe,Cattle,Feedlots,Meat,81.8,5774482.00,472449871.00,151169745.00,203786553.00,117493573.00,81316889.00,,33027160.00,32449085.00,43256147.00,,193566584.00,10219969.00,52017328.00,11098636.00,7712953.00,7785120.00
Western Europe,Buffaloes,Aggregated,Aggregated,71.4,21266690.00,1519064364.00,410810309.00,781897847.00,326356207.00,225452393.00,,99480233.00,130016031.00,98178329.00,,702896031.00,79001816.00,96859943.00,22681376.00,5031476.00,59466735.00
Western Europe,Buffaloes,Aggregated,Milk,69.8,17523512.00,1223100428.00,327960528.00,635244327.00,259895572.00,176542299.00,,78139220.00,103574360.00,73438197.00,,570390832.00,64853495.00,78181992.00,21960540.00,823813.00,55195679.00
Western Europe,Buffaloes,Aggregated,Meat,79.1,3743178.00,295963936.00,82849781.00,146653520.00,66460635.00,48910094.00,,21341013.00,26441671.00,24740132.00,,132505199.00,14148321.00,18677951.00,720836.00,4207662.00,4271056.00
Western Europe,Buffaloes,Grassland systems,Aggregated,72.2,6413827.00,463089380.00,131770006.00,233217174.00,98102200.00,76160898.00,,33636730.00,35253537.00,29609563.00,,211986607.00,21230567.00,29211933.00,6725919.00,1339037.00,17934589.00
Western Europe,Buffaloes,Grassland systems,Milk,70.6,5284921.00,373288883.00,105468733.00,189452741.00,78367409.00,59942652.00,,26553848.00,28234701.00,22148194.00,,172024327.00,17428413.00,23578860.00,6512163.00,219243.00,16646480.00
Western Europe,Buffaloes,Grassland systems,Meat,79.5,1128906.00,89800497.00,26301273.00,43764433.00,19734791.00,16218246.00,,7082881.00,7018837.00,7461368.00,,39962279.00,3802154.00,5633073.00,213756.00,1119794.00,1288109.00
Western Europe,Buffaloes,Mixed systems,Aggregated,71.1,14852863.00,1055974984.00,279040303.00,548680673.00,228254007.00,149291495.00,,65843503.00,94762494.00,68568767.00,,490909425.00,57771249.00,67648009.00,15955457.00,3692439.00,41532146.00
Western Europe,Buffaloes,Mixed systems,Milk,69.4,12238591.00,849811545.00,222491795.00,445791586.00,181528163.00,116599647.00,,51585372.00,75339659.00,51290002.00,,398366505.00,47425081.00,54603132.00,15448377.00,604570.00,38549199.00
Western Europe,Buffaloes,Mixed systems,Meat,78.9,2614272.00,206163438.00,56548508.00,102889087.00,46725844.00,32691848.00,,14258132.00,19422835.00,17278764.00,,92542920.00,10346167.00,13044877.00,507080.00,3087868.00,2982947.00
Western Europe,Sheep,Aggregated,Aggregated,95.5,276535483.00,26414437202.00,4837418982.00,15611138331.00,5965879889.00,2866589539.00,,2052625888.00,3674905393.00,367317194.00,,15128265452.00,482872879.00,238348607.00,542307956.00,525579534.00,535624760.00
Western Europe,Sheep,Aggregated,Milk,69.8,95555385.00,6673359442.00,1300000244.00,4320314733.00,1053044465.00,677583296.00,,351466264.00,627754227.00,194265300.00,,4180066323.00,140248410.00,73823974.00,11828982.00,324874272.00,91448395.00
Western Europe,Sheep,Aggregated,Meat,109.1,180980098.00,19741077760.00,3537418737.00,11290823598.00,4912835424.00,2189006243.00,,1701159624.00,3047151166.00,173051894.00,,10948199130.00,342624469.00,164524633.00,530478974.00,200705262.00,444176364.00
Western Europe,Sheep,Grassland systems,Aggregated,107.4,100081391.00,10751010492.00,2042902899.00,5984981983.00,2723125610.00,1296730882.00,,992391792.00,1643056364.00,117213355.00,,5818330068.00,166651914.00,87677453.00,250862120.00,169954392.00,208142150.00
Western Europe,Sheep,Grassland systems,Milk,71.9,27759523.00,1996596296.00,388447701.00,1261824647.00,346323948.00,209952487.00,,109781121.00,214282517.00,55463136.00,,1224097946.00,37726701.00,22260310.00,3507563.00,92929226.00,26595289.00
Western Europe,Sheep,Grassland systems,Meat,121,72321868.00,8754414196.00,1654455198.00,4723157336.00,2376801662.00,1086778395.00,,882610671.00,1428773847.00,61750219.00,,4594232122.00,128925213.00,65417143.00,247354557.00,77025166.00,181546861.00
Western Europe,Sheep,Mixed systems,Aggregated,88.8,176454093.00,15663426710.00,2794516082.00,9626156349.00,3242754279.00,1569858656.00,,1060234096.00,2031849029.00,250103839.00,,9309935384.00,316220965.00,150671154.00,291445836.00,355625142.00,327482610.00
Western Europe,Sheep,Mixed systems,Milk,69,67795863.00,4676763146.00,911552543.00,3058490086.00,706720517.00,467630809.00,,241685143.00,413471710.00,138802164.00,,2955968377.00,102521709.00,51563664.00,8321419.00,231945046.00,64853106.00
Western Europe,Sheep,Mixed systems,Meat,101.1,108658230.00,10986663564.00,1882963539.00,6567666263.00,2536033762.00,1102227847.00,,818548953.00,1618377319.00,111301675.00,,6353967007.00,213699256.00,99107490.00,283124417.00,123680097.00,262629503.00
Western Europe,Goats,Aggregated,Aggregated,64,68396925.00,4375013431.00,870109217.00,2763705624.00,741198590.00,410558714.00,,228705541.00,441180570.00,122382299.00,,2672228445.00,91477179.00,71312478.00,15410255.00,198332250.00,123425698.00
Western Europe,Goats,Aggregated,Milk,60.7,50602668.00,3073034528.00,644028702.00,1939207280.00,489798546.00,292693794.00,,160271623.00,275582427.00,100733765.00,,1879645274.00,59562006.00,53944497.00,2796022.00,171692753.00,76112368.00
Western Europe,Goats,Aggregated,Meat,73.2,17794257.00,1301978903.00,226080515.00,824498344.00,251400043.00,117864920.00,,68433919.00,165598143.00,21648534.00,,792583172.00,31915173.00,17367981.00,12614233.00,26639497.00,47313330.00
Western Europe,Goats,Grassland systems,Aggregated,69,22073927.00,1524145516.00,295518505.00,970586645.00,258040365.00,147892409.00,,78693549.00,159754942.00,40967160.00,,940095734.00,30490911.00,19591874.00,6040856.00,61294169.00,39323910.00
Western Europe,Goats,Grassland systems,Milk,65.8,15678228.00,1032344991.00,208953251.00,660173718.00,163218022.00,100851040.00,,52645001.00,96354200.00,33005772.00,,641025849.00,19147869.00,14218820.00,988328.00,51774239.00,22333872.00
Western Europe,Goats,Grassland systems,Meat,76.9,6395699.00,491800525.00,86565254.00,310412927.00,94822344.00,47041369.00,,26048548.00,63400742.00,7961388.00,,299069885.00,11343042.00,5373054.00,5052528.00,9519930.00,16990038.00
Western Europe,Goats,Mixed systems,Aggregated,61.5,46322997.00,2850867915.00,574590712.00,1793118979.00,483158224.00,262666306.00,,150011993.00,281425628.00,81415139.00,,1732132711.00,60986268.00,51720604.00,9369399.00,137038081.00,84101788.00
Western Europe,Goats,Mixed systems,Milk,58.4,34924440.00,2040689537.00,435075451.00,1279033562.00,326580525.00,191842754.00,,107626621.00,179228227.00,67727993.00,,1238619425.00,40414137.00,39725676.00,1807694.00,119918514.00,53778496.00
Western Europe,Goats,Mixed systems,Meat,71.1,11398557.00,810178378.00,139515261.00,514085417.00,156577700.00,70823551.00,,42385371.00,102197401.00,13687146.00,,493513286.00,20572131.00,11994928.00,7561705.00,17119567.00,30323292.00
Western Europe,Pigs,Aggregated,Meat,50,2962170879.00,147978599785.00,80615821712.00,33853756304.00,33509021769.00,36338490499.00,5390211.00,14887803193.00,10914391663.00,31796220226.00,,4577584263.00,29270781830.00,7706826913.00,4660112302.00,1626501232.00,6194497452.00
Western Europe,Pigs,Backyard systems,Meat,27.4,23705196.00,649304314.00,75867610.00,367719632.00,205717072.00,75206103.00,1823897.00,56546772.00,10674464.00,,,61901985.00,303993749.00,138495836.00,,661507.00,
Western Europe,Pigs,Intermediate systems,Meat,39.4,37828694.00,1491973519.00,648992448.00,497223346.00,345757724.00,379501866.00,3566314.00,161394505.00,68870127.00,177989424.00,,73885682.00,419771351.00,115493093.00,19591403.00,4102344.00,67807411.00
Western Europe,Pigs,Industrial systems,Meat,50.3,2900636989.00,145837321952.00,79890961653.00,32988813325.00,32957546973.00,35883782530.00,,14669861916.00,10834847072.00,31618230802.00,,4441796595.00,28547016730.00,7452837985.00,4640520899.00,1621737381.00,6126690041.00
Western Europe,Chicken,Aggregated,Aggregated,27.5,1520083835.00,41791719959.00,31319043027.00,771686875.00,9700990056.00,11704721285.00,1270563.00,5268359033.00,2578519013.00,13360512509.00,,,770416313.00,1854112011.00,3260180735.00,522000966.00,2471627532.00
Western Europe,Chicken,Aggregated,Eggs,21.7,576787578.00,12532952292.00,8780216154.00,318621364.00,3434114774.00,3753894013.00,966282.00,1641574551.00,853077192.00,3553527847.00,,,317655082.00,939463031.00,538837630.00,36618629.00,897338035.00
Western Europe,Chicken,Aggregated,Meat,31,943296257.00,29258767667.00,22538826873.00,453065511.00,6266875282.00,7950827272.00,304281.00,3626784482.00,1725441821.00,9806984662.00,,,452761230.00,914648980.00,2721343106.00,485382337.00,1574289497.00
Western Europe,Chicken,Backyard systems,Aggregated,11.5,10741418.00,123013781.00,24901513.00,8843991.00,89268276.00,24901513.00,1270563.00,18064188.00,3213291.00,,,,7573428.00,67990797.00,,,
Western Europe,Chicken,Backyard systems,Eggs,10.8,8591687.00,93183295.00,18861103.00,6707014.00,67615179.00,18861103.00,966282.00,13675997.00,2428552.00,,,,5740732.00,51510630.00,,,
Western Europe,Chicken,Backyard systems,Meat,13.9,2149731.00,29830485.00,6040411.00,2136977.00,21653097.00,6040411.00,304281.00,4388191.00,784739.00,,,,1832696.00,16480167.00,,,
Western Europe,Chicken,Layers,Aggregated,22,602504597.00,13237798935.00,9323247927.00,333278284.00,3581272724.00,3975525428.00,,1730664374.00,894722245.00,3772892586.00,,,333278284.00,955886106.00,580335876.00,39676888.00,954817149.00
Western Europe,Chicken,Layers,Eggs,21.9,568195891.00,12439768997.00,8761355051.00,311914351.00,3366499595.00,3735032910.00,,1627898553.00,850648640.00,3553527847.00,,,311914351.00,887952401.00,538837630.00,36618629.00,897338035.00
Western Europe,Chicken,Layers,Meat,23.3,34308705.00,798029939.00,561892876.00,21363933.00,214773129.00,240492517.00,,102765820.00,44073605.00,219364740.00,,,21363933.00,67933704.00,41498247.00,3058259.00,57479113.00
Western Europe,Chicken,Broilers,Aggregated,31.4,906837821.00,28430907243.00,21970893587.00,429564601.00,6030449056.00,7704294343.00,,3519630471.00,1680583477.00,9587619923.00,,,429564601.00,830235108.00,2679844859.00,482324078.00,1516810383.00
Western Europe,Chicken,Broilers,Meat,31.4,906837821.00,28430907243.00,21970893587.00,429564601.00,6030449056.00,7704294343.00,,3519630471.00,1680583477.00,9587619923.00,,,429564601.00,830235108.00,2679844859.00,482324078.00,1516810383.00
